Steppe_MLBA:Kazakhstan_Dali_MLBA:I0507__BC_1718__Cov_74.49%,0.121791,0.055854,0.059208,0.097869,-0.023081,0.029005,-0.007285,0.006231,-0.030065,-0.038999,0.003248,-0.002098,0.000892,-0.018304,0.025515,-0.004773,-0.030249,0.007475,-0.002765,-0.001876,-0.006613,0.005441,0.002465,0.00723,0.001197
Steppe_MLBA:Kazakhstan_Dali_MLBA:I1931__BC_1393__Cov_25.75%,0.122929,0.074134,0.038843,0.083011,-0.012925,0.022869,-0.00705,0.000231,-0.024134,-0.041368,0.008607,-0.004496,-0.000446,-0.014175,0.027551,0.008751,-0.007562,-0.001647,0.006788,0.002876,-0.00836,-0.000618,0.008751,0.005181,-0.00479
Steppe_MLBA:Kazakhstan_Dali_MLBA:I3448__BC_1750__Cov_28.08%,0.121791,0.099522,0.04978,0.092055,0.000308,0.03765,-0.00141,0.002308,-0.021066,-0.04319,-0.002761,0.004646,-0.006244,-0.034268,0.021851,0.01538,0.005476,0.009375,0.00352,0.004752,-0.001747,0.007296,0.011462,0.007109,-0.005628
Steppe_MLBA:Russia_MLBA_Sintashta:I0939__BC_1875__Cov_42.94%,0.132035,0.11577,0.057699,0.082365,0.017849,0.035698,0.00705,0.001154,-0.024543,-0.040821,-0.004872,0.008093,-0.010258,-0.018441,0.027416,0.009414,-0.003912,-0.000507,0.003268,0.006503,-0.009733,0.000742,0.000986,0.017472,-0.002036
Steppe_MLBA:Russia_MLBA_Sintashta:I0940__BC_1875__Cov_11.64%,0.117238,0.102568,0.063733,0.081073,-0.012002,0.042112,0.011751,-0.000231,-0.004295,-0.036447,0.000812,0.002098,-0.023488,-0.034268,0.02158,0.022275,-0.001825,-0.013176,-0.000251,0.003877,-0.001497,-0.006059,-0.007025,0.005181,0.002994
Steppe_MLBA:Russia_MLBA_Sintashta:I0942__BC_1875__Cov_12.76%,0.119514,0.126941,0.070899,0.080427,0.008001,0.023706,0.020446,0.009,-0.015748,-0.018953,-0.01088,-0.001499,-0.006392,-0.040323,0.017915,0.030893,0.012386,0.00228,0.004777,-0.011631,-0.001123,0.008903,0.008997,0.00253,-0.017244
Steppe_MLBA:Russia_MLBA_Sintashta:I0943__BC_1875__Cov_61.18%,0.122929,0.119832,0.068636,0.072998,0.010463,0.026216,0.008695,0.007384,-0.009408,-0.019317,-0.000162,0.008243,0.004608,-0.007156,0.028094,-0.003447,-0.025164,0.002534,-0.004148,-0.004627,-0.00262,-0.000495,-0.006779,0.003133,0.000838
Steppe_MLBA:Russia_MLBA_Sintashta:I0984__BC_1920__Cov_58.39%,0.124067,0.118817,0.058831,0.078489,0.019696,0.031236,0.00188,0.000923,-0.020452,-0.031891,0.001786,0,-0.006392,-0.01156,0.011943,0.004375,-0.00665,0.003421,-0.004022,0.002251,-0.00574,0.001237,0.006039,0.006266,-0.00455
Steppe_MLBA:Russia_MLBA_Sintashta:I0986__BC_1875__Cov_11.19%,0.133173,0.109677,0.059208,0.09044,0.007386,0.023706,0.00987,0.005538,-0.016157,-0.03098,-0.001624,0.015586,-0.01442,-0.016377,0.021444,0.017634,0.01017,0.00076,-0.005656,0.003001,-0.015597,0.005193,-0.000493,0.020846,-0.015208
Steppe_MLBA:Russia_MLBA_Sintashta:I0989__BC_1875__Cov_19.02%,0.127482,0.117801,0.056945,0.082688,0.008309,0.024263,-0.001175,0.004846,-0.028633,-0.033714,0.003248,-0.010341,-0.003271,-0.013625,0.016422,0.021612,-0.003129,0.004054,-0.003645,0.008129,0.004118,-0.002226,0.010106,-0.005061,-0.000599
